"category_id","type","max_page","id","tcin","gtin","sort_by","search_term","url","customer_zipcode","page","delivery_type","include_out_of_stock","facets","reviewer_type","review_stars","review_media_type","store_stock_zipcode","only_in_stock"
 "4tglt","category",100,,,,,,,,,,,,,,,,
 "4tglh","category",100,,,,,,,,,,,,,,,,
 "flfjt","category",100,,,,,,,,,,,,,,,,
 "c5lky","category",100,,,,,,,,,,,,,,,,
 "by5pi","category",100,,,,,,,,,,,,,,,,
 "2dei4","category",100,,,,,,,,,,,,,,,,
 "4tgi7","category",100,,,,,,,,,,,,,,,,
 "4tghz","category",100,,,,,,,,,,,,,,,,
 "4tgi8","category",100,,,,,,,,,,,,,,,,
 "4tgi2","category",100,,,,,,,,,,,,,,,,
 "4tgi0","category",100,,,,,,,,,,,,,,,,
 "4tgi5","category",100,,,,,,,,,,,,,,,,
 "p9cdq","category",100,,,,,,,,,,,,,,,,
 "4tgi9","category",100,,,,,,,,,,,,,,,,
 "4tgi3","category",100,,,,,,,,,,,,,,,,
 "4tgi4","category",100,,,,,,,,,,,,,,,,
 "5xsxx","category",100,,,,,,,,,,,,,,,,
 "5xsxv","category",100,,,,,,,,,,,,,,,,
 "5xsxw","category",100,,,,,,,,,,,,,,,,
 "mar4j","category",100,,,,,,,,,,,,,,,,
 "vnlne","category",100,,,,,,,,,,,,,,,,
 "v6pbq","category",100,,,,,,,,,,,,,,,,
 "ypj4e","category",100,,,,,,,,,,,,,,,,
 "10ab1","category",100,,,,,,,,,,,,,,,,
 "5xszh","category",100,,,,,,,,,,,,,,,,
 "5xszf","category",100,,,,,,,,,,,,,,,,
 "4tgo9","category",100,,,,,,,,,,,,,,,,
 "4tgo8","category",100,,,,,,,,,,,,,,,,
 "5xszg","category",100,,,,,,,,,,,,,,,,
 "zkvwk","category",100,,,,,,,,,,,,,,,,
 "5xszk","category",100,,,,,,,,,,,,,,,,
 "5xszi","category",100,,,,,,,,,,,,,,,,
 "5xszl","category",100,,,,,,,,,,,,,,,,
 "5xszj","category",100,,,,,,,,,,,,,,,,
 "4tgo6","category",100,,,,,,,,,,,,,,,,
 "5xt14","category",100,,,,,,,,,,,,,,,,
 "5xt18","category",100,,,,,,,,,,,,,,,,
 "c51ff","category",100,,,,,,,,,,,,,,,,
 "4smkx","category",100,,,,,,,,,,,,,,,,
 "5xt17","category",100,,,,,,,,,,,,,,,,
 "4ss7f","category",100,,,,,,,,,,,,,,,,
 "5xt15","category",100,,,,,,,,,,,,,,,,
 "5xsyf","category",100,,,,,,,,,,,,,,,,
 "5xszx","category",100,,,,,,,,,,,,,,,,
 "4tg6h","category",100,,,,,,,,,,,,,,,,
 "4u9ly","category",100,,,,,,,,,,,,,,,,
 "5xszu","category",100,,,,,,,,,,,,,,,,
 "5xt05","category",100,,,,,,,,,,,,,,,,
 "5xsyc","category",100,,,,,,,,,,,,,,,,
 "5xszw","category",100,,,,,,,,,,,,,,,,
 "5xszr","category",100,,,,,,,,,,,,,,,,
 "4u9lv","category",100,,,,,,,,,,,,,,,,
 "5xt0u","category",100,,,,,,,,,,,,,,,,
 "4ykz6","category",100,,,,,,,,,,,,,,,,
 "5xsz8","category",100,,,,,,,,,,,,,,,,
 "5xsz5","category",100,,,,,,,,,,,,,,,,
 "5xsz2","category",100,,,,,,,,,,,,,,,,
 "5xsza","category",100,,,,,,,,,,,,,,,,
 "5xsz9","category",100,,,,,,,,,,,,,,,,
 "5xsz4","category",100,,,,,,,,,,,,,,,,
 "5xsz3","category",100,,,,,,,,,,,,,,,,
 "5xsz7","category",100,,,,,,,,,,,,,,,,
