"tcin","type","id","gtin","sort_by","search_term","category_id","url","customer_zipcode","page","max_page","delivery_type","include_out_of_stock","facets","reviewer_type","review_stars","review_media_type","store_stock_zipcode","only_in_stock"
 "13219249","product",,,,,,,,,,,,,,,,,
 "79333004","product",,,,,,,,,,,,,,,,,
 "54531895","product",,,,,,,,,,,,,,,,,
 "79643218","product",,,,,,,,,,,,,,,,,
 "79643220","product",,,,,,,,,,,,,,,,,
 "81485730","product",,,,,,,,,,,,,,,,,
 "53855884","product",,,,,,,,,,,,,,,,,
 "90190788","product",,,,,,,,,,,,,,,,,
 "79834368","product",,,,,,,,,,,,,,,,,
 "88370029","product",,,,,,,,,,,,,,,,,
 "79646220","product",,,,,,,,,,,,,,,,,
 "54442245","product",,,,,,,,,,,,,,,,,
 "13265834","product",,,,,,,,,,,,,,,,,
 "23985485","product",,,,,,,,,,,,,,,,,
 "84996568","product",,,,,,,,,,,,,,,,,
 "81485731","product",,,,,,,,,,,,,,,,,
 "54531858","product",,,,,,,,,,,,,,,,,
 "14915916","product",,,,,,,,,,,,,,,,,
 "87412106","product",,,,,,,,,,,,,,,,,
 "88195917","product",,,,,,,,,,,,,,,,,
 "15389495","product",,,,,,,,,,,,,,,,,
 "12955086","product",,,,,,,,,,,,,,,,,
 "84039552","product",,,,,,,,,,,,,,,,,
 "13219717","product",,,,,,,,,,,,,,,,,
 "87059982","product",,,,,,,,,,,,,,,,,
 "54580930","product",,,,,,,,,,,,,,,,,
 "54531894","product",,,,,,,,,,,,,,,,,
 "79804719","product",,,,,,,,,,,,,,,,,
 "87412109","product",,,,,,,,,,,,,,,,,
 "88453412","product",,,,,,,,,,,,,,,,,
 "79647193","product",,,,,,,,,,,,,,,,,
 "89219127","product",,,,,,,,,,,,,,,,,
 "88373741","product",,,,,,,,,,,,,,,,,
 "79647195","product",,,,,,,,,,,,,,,,,
 "52034403","product",,,,,,,,,,,,,,,,,
 "54531861","product",,,,,,,,,,,,,,,,,
 "88195961","product",,,,,,,,,,,,,,,,,
 "87365773","product",,,,,,,,,,,,,,,,,
 "13237452","product",,,,,,,,,,,,,,,,,
 "87545145","product",,,,,,,,,,,,,,,,,
 "84996569","product",,,,,,,,,,,,,,,,,
 "86498628","product",,,,,,,,,,,,,,,,,
 "82341621","product",,,,,,,,,,,,,,,,,
 "81593950","product",,,,,,,,,,,,,,,,,
 "14907377","product",,,,,,,,,,,,,,,,,
 "13475797","product",,,,,,,,,,,,,,,,,
 "13219575","product",,,,,,,,,,,,,,,,,
 "89183117","product",,,,,,,,,,,,,,,,,
 "88663011","product",,,,,,,,,,,,,,,,,
 "90190779","product",,,,,,,,,,,,,,,,,
 "13219576","product",,,,,,,,,,,,,,,,,
 "86498629","product",,,,,,,,,,,,,,,,,
 "87545147","product",,,,,,,,,,,,,,,,,
 "78687965","product",,,,,,,,,,,,,,,,,
 "54442154","product",,,,,,,,,,,,,,,,,
 "50426587","product",,,,,,,,,,,,,,,,,
 "54531847","product",,,,,,,,,,,,,,,,,
 "89183252","product",,,,,,,,,,,,,,,,,
 "54628122","product",,,,,,,,,,,,,,,,,
 "13237454","product",,,,,,,,,,,,,,,,,
 "88195964","product",,,,,,,,,,,,,,,,,
 "88337152","product",,,,,,,,,,,,,,,,,
 "13237446","product",,,,,,,,,,,,,,,,,
 "89183177","product",,,,,,,,,,,,,,,,,
 "87879968","product",,,,,,,,,,,,,,,,,
 "88195904","product",,,,,,,,,,,,,,,,,
 "47111326","product",,,,,,,,,,,,,,,,,
 "88195935","product",,,,,,,,,,,,,,,,,
 "90190924","product",,,,,,,,,,,,,,,,,
 "79474179","product",,,,,,,,,,,,,,,,,
 "50838113","product",,,,,,,,,,,,,,,,,
 "13475160","product",,,,,,,,,,,,,,,,,
 "13228383","product",,,,,,,,,,,,,,,,,
 "82341627","product",,,,,,,,,,,,,,,,,
 "89188354","product",,,,,,,,,,,,,,,,,
 "78795210","product",,,,,,,,,,,,,,,,,
 "87419920","product",,,,,,,,,,,,,,,,,
 "87419922","product",,,,,,,,,,,,,,,,,
 "15389494","product",,,,,,,,,,,,,,,,,
 "79474085","product",,,,,,,,,,,,,,,,,
 "89183852","product",,,,,,,,,,,,,,,,,
 "85457289","product",,,,,,,,,,,,,,,,,
 "17281274","product",,,,,,,,,,,,,,,,,
 "88582165","product",,,,,,,,,,,,,,,,,
 "87545149","product",,,,,,,,,,,,,,,,,
 "54628049","product",,,,,,,,,,,,,,,,,
 "88054626","product",,,,,,,,,,,,,,,,,
 "88337133","product",,,,,,,,,,,,,,,,,
 "88582167","product",,,,,,,,,,,,,,,,,
 "13265836","product",,,,,,,,,,,,,,,,,
 "15389439","product",,,,,,,,,,,,,,,,,
 "54627975","product",,,,,,,,,,,,,,,,,
 "88054620","product",,,,,,,,,,,,,,,,,
 "88195969","product",,,,,,,,,,,,,,,,,
 "88195931","product",,,,,,,,,,,,,,,,,
 "13292765","product",,,,,,,,,,,,,,,,,
 "85450233","product",,,,,,,,,,,,,,,,,
 "87419923","product",,,,,,,,,,,,,,,,,
 "78795192","product",,,,,,,,,,,,,,,,,
 "47984930","product",,,,,,,,,,,,,,,,,
 "88582166","product",,,,,,,,,,,,,,,,,
 "88498055","product",,,,,,,,,,,,,,,,,
 "87364127","product",,,,,,,,,,,,,,,,,
 "78795193","product",,,,,,,,,,,,,,,,,
 "90190874","product",,,,,,,,,,,,,,,,,
 "88195992","product",,,,,,,,,,,,,,,,,
 "90190831","product",,,,,,,,,,,,,,,,,
 "90190846","product",,,,,,,,,,,,,,,,,
 "14895485","product",,,,,,,,,,,,,,,,,
 "14901319","product",,,,,,,,,,,,,,,,,
 "52396719","product",,,,,,,,,,,,,,,,,
 "54155486","product",,,,,,,,,,,,,,,,,
 "14895490","product",,,,,,,,,,,,,,,,,
 "88283036","product",,,,,,,,,,,,,,,,,
 "14895487","product",,,,,,,,,,,,,,,,,
 "14895484","product",,,,,,,,,,,,,,,,,
 "15346173","product",,,,,,,,,,,,,,,,,
 "88283039","product",,,,,,,,,,,,,,,,,
 "88240811","product",,,,,,,,,,,,,,,,,
 "47935719","product",,,,,,,,,,,,,,,,,
 "88714144","product",,,,,,,,,,,,,,,,,
 "88283037","product",,,,,,,,,,,,,,,,,
 "14963283","product",,,,,,,,,,,,,,,,,
 "88240816","product",,,,,,,,,,,,,,,,,
 "88283038","product",,,,,,,,,,,,,,,,,
 "13010410","product",,,,,,,,,,,,,,,,,
 "17016217","product",,,,,,,,,,,,,,,,,
 "53463034","product",,,,,,,,,,,,,,,,,
 "17016218","product",,,,,,,,,,,,,,,,,
 "14901847","product",,,,,,,,,,,,,,,,,
