"tcin","type","id","gtin","sort_by","search_term","category_id","url","customer_zipcode","page","max_page","delivery_type","include_out_of_stock","facets","reviewer_type","review_stars","review_media_type","store_stock_zipcode","only_in_stock"
 "81450392","product",,,,,,,,,,,,,,,,,
 "78628419","product",,,,,,,,,,,,,,,,,
 "79314047","product",,,,,,,,,,,,,,,,,
 "81450365","product",,,,,,,,,,,,,,,,,
 "51442904","product",,,,,,,,,,,,,,,,,
 "16222820","product",,,,,,,,,,,,,,,,,
 "87437408","product",,,,,,,,,,,,,,,,,
 "87266804","product",,,,,,,,,,,,,,,,,
 "79961546","product",,,,,,,,,,,,,,,,,
 "54528341","product",,,,,,,,,,,,,,,,,
 "88768336","product",,,,,,,,,,,,,,,,,
 "77526966","product",,,,,,,,,,,,,,,,,
 "14986264","product",,,,,,,,,,,,,,,,,
 "52324216","product",,,,,,,,,,,,,,,,,
 "52324379","product",,,,,,,,,,,,,,,,,
 "86026805","product",,,,,,,,,,,,,,,,,
 "79543405","product",,,,,,,,,,,,,,,,,
 "79961664","product",,,,,,,,,,,,,,,,,
 "52324414","product",,,,,,,,,,,,,,,,,
 "76615136","product",,,,,,,,,,,,,,,,,
 "77526965","product",,,,,,,,,,,,,,,,,
 "87461409","product",,,,,,,,,,,,,,,,,
 "87461368","product",,,,,,,,,,,,,,,,,
 "86099984","product",,,,,,,,,,,,,,,,,
 "86027041","product",,,,,,,,,,,,,,,,,
 "86027066","product",,,,,,,,,,,,,,,,,
 "47098540","product",,,,,,,,,,,,,,,,,
 "88913842","product",,,,,,,,,,,,,,,,,
 "88333926","product",,,,,,,,,,,,,,,,,
 "88340482","product",,,,,,,,,,,,,,,,,
 "88340440","product",,,,,,,,,,,,,,,,,
 "88333669","product",,,,,,,,,,,,,,,,,
 "89388067","product",,,,,,,,,,,,,,,,,
 "88337085","product",,,,,,,,,,,,,,,,,
 "88334423","product",,,,,,,,,,,,,,,,,
 "88337084","product",,,,,,,,,,,,,,,,,
 "82397449","product",,,,,,,,,,,,,,,,,
 "88337086","product",,,,,,,,,,,,,,,,,
 "81184677","product",,,,,,,,,,,,,,,,,
 "89388735","product",,,,,,,,,,,,,,,,,
 "54266408","product",,,,,,,,,,,,,,,,,
 "88337087","product",,,,,,,,,,,,,,,,,
 "54266407","product",,,,,,,,,,,,,,,,,
 "89388654","product",,,,,,,,,,,,,,,,,
 "82397442","product",,,,,,,,,,,,,,,,,
 "88339950","product",,,,,,,,,,,,,,,,,
